x,y
-711257.564199045300484,-1079647.692788362503052
-711107.649844285100698,-1079644.253763332962990
-711068.079403225332499,-1079583.724547989666462
-711208.727738641202450,-1078828.889462854713202
-711109.164000168442726,-1078514.181478198617697
-710965.362846795469522,-1078401.112223599106073
-710852.860593024641275,-1078438.651450119912624
-714655.509867683053017,-1080184.820336543023586
-721271.877078711986542,-1081506.470797821879387
-720528.679916903376579,-1081052.914491459727287
-720491.841452412307262,-1081020.766749534755945
-720338.043307885527611,-1080815.076940894126892
-719727.933830194175243,-1080657.690817937254906
-719518.830142237246037,-1080501.383166525512934
-718897.321101594716311,-1080279.516983233392239
-718249.167387716472149,-1080241.959945164620876
-717850.232626561075449,-1080112.587714254856110
-716472.162876468151808,-1080178.083556480705738
-715601.395942173898220,-1079992.977955829352140
-713646.520111210644245,-1079183.845425743609667
-712727.050303094089031,-1079210.804594971239567
-712514.035584185272455,-1079107.577790185809135
-712387.873447570949793,-1078981.888008739799261
-712193.600140310823917,-1078936.965722497552633
-711878.880630537867546,-1079093.414469283074141
-711472.401458028703928,-1079561.376822493970394
-722001.889506816864014,-1080994.543965429067612
-721853.617131967097521,-1080510.194118376821280
-721819.942312058061361,-1079907.388421572744846
-721568.005003355443478,-1079624.973290536552668
-720931.244042135775089,-1079299.444618117064238
-720748.145558048039675,-1079319.232370678335428
-720671.175763476639986,-1079126.487363766878843
-720764.233224224299192,-1078756.036405105143785
-721738.819109838455915,-1083949.041553698480129
-721185.687714509665966,-1082102.831684190779924
-714662.784661155194044,-1088411.152951989322901
-714314.447957057505846,-1087775.349797826260328
-714125.964973293244839,-1087736.963475216180086
-714182.261152908205986,-1087465.440278120338917
-713972.879639782011509,-1087147.275980763137341
-713631.880593430250883,-1086614.846489313989878
-713639.899630054831505,-1086430.984204299747944
-713793.590730693191290,-1086268.321498665958643
-713750.360191911458969,-1086080.086304914206266
-712968.876417212188244,-1084879.347241774201393
-712431.447469759732485,-1084601.501121088862419
-712318.283394884318113,-1084309.518746063113213
-712385.849392574280500,-1083901.336300976574421
-712187.442060817033052,-1083638.743148606270552
-711786.460718300193548,-1083477.025327935814857
-711652.751725606620312,-1083376.815833672881126
-711458.412236236035824,-1083146.835618853569031
-711681.694088052958250,-1083046.805462393909693
-711962.002567421644926,-1082745.997641805559397
-712101.982271436601877,-1082063.410895027220249
-712355.369998633861542,-1081741.696861673146486
-712967.297825444489717,-1081398.711304266005754
-713639.117668338119984,-1081166.421525873243809
-714346.028872776776552,-1080628.042978640645742
-708009.146269883960485,-1083855.833393316715956
-708356.704155474901199,-1083254.848490353673697
-708979.336895015090704,-1082942.140288099646568
-709033.394407987594604,-1082503.640848446637392
-709386.019328676164150,-1082047.768168214708567
-709422.022047571837902,-1081910.473991055041552
-709578.186158891767263,-1081864.196979712694883
-709715.697043173015118,-1081803.898615948855877
-709807.612818855792284,-1081540.485084805637598
-710027.007213827222586,-1081541.929915368556976
-710531.049120046198368,-1081199.339005902409554
-710624.152157392352819,-1080843.052066639065742
-710799.383177600800991,-1081056.232328135520220
-710764.369697906076908,-1080872.993097923696041
-710788.216910954564810,-1080828.417612925171852
-710834.379369620233774,-1080811.437623307108879
-711073.348302491009235,-1080803.271204885095358
-711226.498944994062185,-1080485.162263013422489
-711276.183025360107422,-1080103.992072541266680
-711255.490900367498398,-1079941.447935912758112
-711297.306119874119759,-1079865.844391558319330
-711355.643118292093277,-1079797.005392324179411
-704888.164177376776934,-1100285.326154366135597
-704745.803139742463827,-1100407.374173499643803
-704471.248313039541245,-1101272.926341652870178
-704500.957270380109549,-1102043.943214751780033
-703982.516302231699228,-1103132.626884330064058
-704929.601338122040033,-1100112.160749420523643
-703919.138462163507938,-1103224.523800734430552
-703880.598471328616142,-1103313.200494706630707
-704953.264323923736811,-1100032.490934286266565
