x1,y1,x2,y2,TRIDA,SHAPE_Length
-724869.708262663334608,-1079390.669759903103113,-724713.148455660790205,-1079357.382428396493196,5,160.059425237956219
-724713.148455660790205,-1079357.382428396493196,-724569.077509779483080,-1079557.357350673526525,5,246.467861975633724
-724569.077509779483080,-1079557.357350673526525,-724502.270598195493221,-1079165.262047894299030,5,397.746011792607590
-724502.270598195493221,-1079165.262047894299030,-724200.269054897129536,-1079186.199867423623800,5,302.726484538825900
-724200.269054897129536,-1079186.199867423623800,-724157.443816058337688,-1079120.073810849338770,5,78.782335835294390
-724157.443816058337688,-1079120.073810849338770,-723308.778738096356392,-1078825.642523106187582,5,898.288482478934043
-723308.778738096356392,-1078825.642523106187582,-722836.456398244947195,-1078967.714385081082582,5,493.226932240853728
-722836.456398244947195,-1078967.714385081082582,-722237.748229738324881,-1078981.451276659965515,5,598.865738898798668
-722237.748229738324881,-1078981.451276659965515,-721452.102665483951569,-1078861.475333839654922,5,794.753533800382115
-721452.102665483951569,-1078861.475333839654922,-720871.007844153791666,-1078586.407464813441038,5,642.910198975994490
-720871.007844153791666,-1078586.407464813441038,-720015.036016717553139,-1078057.849539518356323,5,1006.012549502628303
-720015.036016717553139,-1078057.849539518356323,-719953.371926605701447,-1077814.794952716678381,5,250.754844768066192
-719953.371926605701447,-1077814.794952716678381,-719829.860566873103380,-1077413.281708598136902,5,420.080874577254122
-719829.860566873103380,-1077413.281708598136902,-719754.491715807467699,-1076327.694628376513720,5,1088.200244649422530
-719754.491715807467699,-1076327.694628376513720,-720047.616823635995388,-1075571.999525047838688,5,810.553772450923134
-714280.673252806067467,-1074594.906053401529789,-714144.587466690689325,-1073779.947925977408886,5,826.242150121421787
-714144.587466690689325,-1073779.947925977408886,-714169.021762207150459,-1073411.827834893018007,5,368.930123813935779
-711026.034030627459288,-1075791.234663855284452,-711648.549074277281761,-1075290.540629468858242,5,798.886409723244810
-711648.549074277281761,-1075290.540629468858242,-711918.854625310748816,-1074903.769406817853451,5,471.865520662889082
-711918.854625310748816,-1074903.769406817853451,-712185.378017157316208,-1074147.016262836754322,5,802.315423836957621
-712185.378017157316208,-1074147.016262836754322,-712204.901739768683910,-1073722.133050277829170,5,425.331541340397678
-712204.901739768683910,-1073722.133050277829170,-712182.642373505979776,-1073619.898104038089514,5,104.630127683472068
-712182.642373505979776,-1073619.898104038089514,-712336.990056559443474,-1073465.494890876114368,5,218.319855942410385
-712336.990056559443474,-1073465.494890876114368,-712287.898122727870941,-1073191.799558497965336,5,278.063217511610048
-712287.898122727870941,-1073191.799558497965336,-712281.217571269720793,-1072726.710801091045141,5,465.136734771720683
-712281.217571269720793,-1072726.710801091045141,-712084.452568665146828,-1072146.048870135098696,5,613.094400815621725
-712084.452568665146828,-1072146.048870135098696,-711540.581255502998829,-1071256.418637353926897,5,1042.707032851990107
-711540.581255502998829,-1071256.418637353926897,-711788.249381516128778,-1071189.009974971413612,5,256.677674150003327
-711788.249381516128778,-1071189.009974971413612,-712132.160091485828161,-1071223.992371775209904,5,345.685325864435470
-726002.556703981012106,-1083718.177397336810827,-725527.746859736740589,-1083199.303189564496279,4,703.331238949768590
-725527.746859736740589,-1083199.303189564496279,-725519.893889568746090,-1082606.164970345795155,4,593.190202412675831
-725519.893889568746090,-1082606.164970345795155,-725434.593880217522383,-1082402.732513006776571,4,220.592058547696752
-725434.593880217522383,-1082402.732513006776571,-724396.379570558667183,-1082010.038078770041466,4,1109.999041198199848
-724229.222767833620310,-1081898.657952290028334,-724037.269152279943228,-1081813.543217923492193,4,209.977876287991052
-724037.269152279943228,-1081813.543217923492193,-723478.099294204264879,-1081710.416472107172012,4,568.600084315011486
-723478.099294204264879,-1081710.416472107172012,-723193.577336877584457,-1081463.975072551518679,4,376.412151259699044
-723193.577336877584457,-1081463.975072551518679,-722921.904487885534763,-1081391.669632479548454,4,281.130243025289417
-722921.904487885534763,-1081391.669632479548454,-722125.950405079871416,-1081627.676610309630632,4,830.206116286488054
-722125.950405079871416,-1081627.676610309630632,-721825.571458537131548,-1081618.413559556007385,4,300.521739039608235
-710758.840261150151491,-1078489.298925481736660,-710325.135619360953569,-1078316.932420685887337,4,466.701112367470159
-710325.135619360953569,-1078316.932420685887337,-710250.863400634378195,-1078615.608443897217512,4,307.772203611540078
-710250.863400634378195,-1078615.608443897217512,-710074.573815897107124,-1078787.397645112127066,4,246.149441073702519
-710074.573815897107124,-1078787.397645112127066,-710019.644934240728617,-1078570.861828375607729,4,223.394140410557611
-710019.644934240728617,-1078570.861828375607729,-709978.819128558039665,-1078597.543870929628611,4,48.771690605260538
-724396.379570558667183,-1082010.038078770041466,-724229.222767833620310,-1081898.657952290028334,4,200.865450667764065
-715162.926712296903133,-1080069.684942811727524,-714814.625107418745756,-1080375.843036975711584,4,463.731373300128382
-711257.564199045300484,-1079647.692788362503052,-711107.649844285100698,-1079644.253763332962990,4,149.953795071418057
-711107.649844285100698,-1079644.253763332962990,-711068.079403225332499,-1079583.724547989666462,4,72.316012858424045
-711068.079403225332499,-1079583.724547989666462,-711208.727738641202450,-1078828.889462854713202,4,767.826777343657909
-711208.727738641202450,-1078828.889462854713202,-711109.164000168442726,-1078514.181478198617697,4,330.081889271394800
-711109.164000168442726,-1078514.181478198617697,-710965.362846795469522,-1078401.112223599106073,4,182.930117933287676
-710965.362846795469522,-1078401.112223599106073,-710852.860593024641275,-1078438.651450119912624,4,118.599960502928766
-710852.860593024641275,-1078438.651450119912624,-710758.840261150151491,-1078489.298925481736660,4,106.794145749267429
-714814.625107418745756,-1080375.843036975711584,-714655.509867683053017,-1080184.820336543023586,4,248.610803459430201
-721825.571458537131548,-1081618.413559556007385,-721271.877078711986542,-1081506.470797821879387,4,564.897024381095207
-721271.877078711986542,-1081506.470797821879387,-720528.679916903376579,-1081052.914491459727287,4,870.663737823766041
-720528.679916903376579,-1081052.914491459727287,-720491.841452412307262,-1081020.766749534755945,4,48.893248786865605
-720491.841452412307262,-1081020.766749534755945,-720338.043307885527611,-1080815.076940894126892,4,256.831007938096946
-720338.043307885527611,-1080815.076940894126892,-719727.933830194175243,-1080657.690817937254906,4,630.082507667218465
-719727.933830194175243,-1080657.690817937254906,-719518.830142237246037,-1080501.383166525512934,4,261.067872797560938
-719518.830142237246037,-1080501.383166525512934,-718897.321101594716311,-1080279.516983233392239,4,659.922791612026799
-718897.321101594716311,-1080279.516983233392239,-718249.167387716472149,-1080241.959945164620876,4,649.240916704007418
-718249.167387716472149,-1080241.959945164620876,-717850.232626561075449,-1080112.587714254856110,4,419.387789269886753
-717850.232626561075449,-1080112.587714254856110,-716472.162876468151808,-1080178.083556480705738,4,1379.625290240087679
-716472.162876468151808,-1080178.083556480705738,-715601.395942173898220,-1079992.977955829352140,4,890.224206170957473
-715601.395942173898220,-1079992.977955829352140,-715162.926712296903133,-1080069.684942811727524,4,445.128326891065683
-714655.509867683053017,-1080184.820336543023586,-713646.520111210644245,-1079183.845425743609667,4,1421.270945568136767
-713646.520111210644245,-1079183.845425743609667,-712727.050303094089031,-1079210.804594971239567,4,919.864949241647537
-712727.050303094089031,-1079210.804594971239567,-712514.035584185272455,-1079107.577790185809135,4,236.708774019915666
-712514.035584185272455,-1079107.577790185809135,-712387.873447570949793,-1078981.888008739799261,4,178.086512333294735
-712387.873447570949793,-1078981.888008739799261,-712193.600140310823917,-1078936.965722497552633,4,199.399422554373558
-712193.600140310823917,-1078936.965722497552633,-711878.880630537867546,-1079093.414469283074141,4,351.460638197921412
-711878.880630537867546,-1079093.414469283074141,-711472.401458028703928,-1079561.376822493970394,4,619.850047758660708
-711472.401458028703928,-1079561.376822493970394,-711257.564199045300484,-1079647.692788362503052,4,231.528602577132261
-721825.571458537131548,-1081618.413559556007385,-722001.889506816864014,-1080994.543965429067612,5,648.306505154226102
-722001.889506816864014,-1080994.543965429067612,-721853.617131967097521,-1080510.194118376821280,5,506.536742480862927
-721853.617131967097521,-1080510.194118376821280,-721819.942312058061361,-1079907.388421572744846,5,603.745560311091708
-721819.942312058061361,-1079907.388421572744846,-721568.005003355443478,-1079624.973290536552668,5,378.458338201852484
-721568.005003355443478,-1079624.973290536552668,-720931.244042135775089,-1079299.444618117064238,5,715.145746194851313
-720931.244042135775089,-1079299.444618117064238,-720748.145558048039675,-1079319.232370678335428,5,184.164627512051823
-720748.145558048039675,-1079319.232370678335428,-720671.175763476639986,-1079126.487363766878843,5,207.545144403960734
-720671.175763476639986,-1079126.487363766878843,-720764.233224224299192,-1078756.036405105143785,5,381.960212292066672
-720764.233224224299192,-1078756.036405105143785,-720871.007844153791666,-1078586.407464813441038,5,200.436515748936387
-721738.819109838455915,-1083949.041553698480129,-721185.687714509665966,-1082102.831684190779924,5,1927.289605317792848
-721185.687714509665966,-1082102.831684190779924,-721825.571458537131548,-1081618.413559556007385,5,802.565963236217158
-714662.784661155194044,-1088411.152951989322901,-714314.447957057505846,-1087775.349797826260328,5,724.971799634537206
-714314.447957057505846,-1087775.349797826260328,-714125.964973293244839,-1087736.963475216180086,5,192.352137841521881
-714125.964973293244839,-1087736.963475216180086,-714182.261152908205986,-1087465.440278120338917,5,277.297865841746045
-714182.261152908205986,-1087465.440278120338917,-713972.879639782011509,-1087147.275980763137341,5,380.879427315018575
-713972.879639782011509,-1087147.275980763137341,-713631.880593430250883,-1086614.846489313989878,5,632.266963376711601
-713631.880593430250883,-1086614.846489313989878,-713639.899630054831505,-1086430.984204299747944,5,184.037074523164222
-713639.899630054831505,-1086430.984204299747944,-713793.590730693191290,-1086268.321498665958643,5,223.785857952497139
-713793.590730693191290,-1086268.321498665958643,-713750.360191911458969,-1086080.086304914206266,5,193.135619837767422
-713750.360191911458969,-1086080.086304914206266,-712968.876417212188244,-1084879.347241774201393,5,1432.651802731060343
-712968.876417212188244,-1084879.347241774201393,-712431.447469759732485,-1084601.501121088862419,5,605.002760605062349
-712431.447469759732485,-1084601.501121088862419,-712318.283394884318113,-1084309.518746063113213,5,313.145038549368792
-712318.283394884318113,-1084309.518746063113213,-712385.849392574280500,-1083901.336300976574421,5,413.736718845046710
-712385.849392574280500,-1083901.336300976574421,-712187.442060817033052,-1083638.743148606270552,5,329.121000494960924
-712187.442060817033052,-1083638.743148606270552,-711786.460718300193548,-1083477.025327935814857,5,432.364071783269992
-711786.460718300193548,-1083477.025327935814857,-711652.751725606620312,-1083376.815833672881126,5,167.092900709644084
-711652.751725606620312,-1083376.815833672881126,-711458.412236236035824,-1083146.835618853569031,5,301.095892262176903
-711458.412236236035824,-1083146.835618853569031,-711681.694088052958250,-1083046.805462393909693,5,244.664704344819683
-711681.694088052958250,-1083046.805462393909693,-711962.002567421644926,-1082745.997641805559397,5,411.166862153431055
-711962.002567421644926,-1082745.997641805559397,-712101.982271436601877,-1082063.410895027220249,5,696.791923326864776
-712101.982271436601877,-1082063.410895027220249,-712355.369998633861542,-1081741.696861673146486,5,409.518326270191437
-712355.369998633861542,-1081741.696861673146486,-712967.297825444489717,-1081398.711304266005754,5,701.494659862115554
-712967.297825444489717,-1081398.711304266005754,-713639.117668338119984,-1081166.421525873243809,5,710.844879317126811
